tceid,ticid,tce_plnt_num,sectors,lastUpdate,tce_period,tce_period_err,tce_time0bt,tce_time0bt_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof2,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_ntoi,tce_sectors,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_sdensity,tce_sdensity_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tce_sdensity_prov,tcet_period,tcet_period_err,tcet_time0bt,tcet_time0bt_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_ws_mesmedian,tce_ws_mesmad,tce_ws_maxmes,tce_ws_minmes,tce_ws_maxmesd,tce_ws_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_bin_spc_stat,tce_bin_lpc_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,bootstrap_transit_count,tce_cap_stat,tce_hap_stat,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_ditco_mra,tce_ditco_mra_err,tce_ditco_mdec,tce_ditco_mdec_err,tce_ditco_msky,tce_ditco_msky_err,int_label
00005868998-01,5868998,1,s0001-s0039,2021-08-31,0.6355310000000001,2.55279e-06,1569.93,0.00033393699999999997,2458569.93,0.00033393699999999997,0.222538,0.00157169,3.9632199999999997,0.25558000000000003,79.07309999999998,0.145118,0.751254,0.008275869999999998,1.21601,0.024962400000000003,0.48308500000000004,0.0716368,48636.8,217.33700000000002,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.7073081,-0.02539115,0.1943757,-0.1047849,65,mandel-agol_geometric_transit_model,True,129.4329,9747.324,11563.88,126.4343,1488.668,644.1498,1885,3455.1,19.0371,0.815192,0.0116916,0.00343353,1316.38,45.5387,709.653,46.463,1,00000000001000000000000000000000000001,3644.0,122.0,4.37169,0.0,0.0,0.0,0.783601,0.0,1.0954549999999998,0.0,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,0.6355265974998471,-1.0,1569.9346352248301,-1.0,2458569.9346352248,-1.0,1.2320391776981698,-1.0,0.522117058540122,-1.0,52363.290146600986,-1.0,True,29731.0,14698.0,2.06446,635.7061,-0.495802,0.9284447,2.09235,-2.8847490000000002,0.16745,0.467448,18.76296,102.8232,2.022373,0.0,0.0,0.131909,0.06228541,1226.5639999999999,150.502,-13.93731,-0.5727226,0.0,5.2734239999999994,-1.7123150000000005,0.982691,1201,83.28796,20.76099,-0.5183293999999999,2.502564,-0.5568725,2.503029,0.7607709,2.502813,-2.493665,2.5815639999999997,0.5706249,2.603313,2.55812,2.621713,1
00015445551-01,15445551,1,s0001-s0039,2021-08-31,1.6827900000000002,2.55279e-06,1569.67,0.00033393699999999997,2458569.67,0.00033393699999999997,0.08686449999999997,0.00157169,4.01396,0.25558000000000003,81.9077,0.145118,0.565038,0.008275869999999998,3.03147,0.024962400000000003,0.349098,0.0716368,8131.43,217.33700000000002,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.4322927,0.49759719999999996,-0.4510862,0.1316151,37,mandel-agol_geometric_transit_model,True,130.621,13085.18,16321.74,105.2742,1019.223,404.6736,2761,3192.841,14.8696,0.815192,0.0303125,0.00343353,2049.54,45.5387,4170.1,46.463,2,00000000001100000000000000000000000001,6458.0,133.326,4.164630000000001,0.08816689999999999,0.0,0.0,1.56803,0.07196989999999999,0.3398407,0.07073295,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,1.68281662464142,-1.0,1569.66315119964,-1.0,2458569.6631511995,-1.0,3.14970299176148,-1.0,0.581755260248896,-1.0,7820.875340044221,-1.0,True,45712.0,21596.0,2.4601290000000002,164.976,-0.29693800000000004,0.4436463,3.4321699999999997,-2.542446,0.8513699999999998,0.737477,22.71269,89.38298,0.41408809999999996,50.49165,0.0,0.3771737,0.1505356,2483.317,237.915,-4.1374010000000006,1.722088,0.0,4.860147,-2.77335,1.0737940000000001,454,127.0875,13.85002,-2.190766,2.508569,1.451618,2.515705,2.6280509999999997,2.510748,-0.007753271,2.817103,0.9349371999999999,2.539836,0.9349693,2.5398560000000003,1
00015445551-02,15445551,2,s0001-s0039,2021-08-31,0.593172,2.55279e-06,1569.56,0.00033393699999999997,2458569.56,0.00033393699999999997,0.0228746,0.00157169,2.29291,0.25558000000000003,87.5004,0.145118,0.1,0.008275869999999998,2.08672,0.024962400000000003,0.0504917,0.0716368,596.826,217.33700000000002,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.4322927,0.49759719999999996,-0.4510862,0.1316151,82,mandel-agol_geometric_transit_model,True,15.883029999999998,19129.93,22964.23,15.491710000000001,95.30700999999999,52.43155,4435,4279.843,3.91571,0.815192,0.0151259,0.00343353,2901.39,45.5387,16747.3,46.463,2,00000000001100000000000000000000000001,6458.0,133.326,4.164630000000001,0.08816689999999999,0.0,0.0,1.56803,0.07196989999999999,0.3398407,0.07073295,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,0.5931554676313321,-1.0,1569.55521372496,-1.0,2458569.5552137247,-1.0,3.7395270643377296,-1.0,1.56543405621959,-1.0,880.441758018329,-1.0,True,33170.0,15935.0,5.2169550000000005,220.3672,-1.9752,1.451468,5.83775,-5.599726,0.15553,0.416644,12.78351,12.45876,2.5890459999999998e-21,0.0,50.49165,1.809029,1.746187,5202.4529999999995,1247.028,0.4633117,1.837151,8.382341631100986e-48,4.265571,-3.606884,1.109683,1287,3.653332,20.68262,-27.466820000000002,6.791811999999999,-35.03838,25.938589999999998,44.52094,20.8395,-25.35751,6.170583000000001,-35.28539,25.392139999999998,43.451840000000004,20.93196,1
00016288184-01,16288184,1,s0001-s0039,2021-08-31,2.18053,2.55279e-06,1626.8,0.00033393699999999997,2458626.8,0.00033393699999999997,0.121097,0.00157169,5.8749199999999995,0.25558000000000003,85.8882,0.145118,0.421246,0.008275869999999998,2.9691799999999997,0.024962400000000003,0.384975,0.0716368,16340.1,217.33700000000002,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.4642813,0.3390901,-0.1901612,0.0136101,21,mandel-agol_geometric_transit_model,True,45.32513,7833.604,9021.425,37.05489,138.8399,54.12845,1482,1576.0479999999998,16.8089,0.815192,0.0349707,0.00343353,1654.4,45.5387,1770.47,46.463,2,0000000000001000000000000000000000000001,6218.0,134.679,4.307919999999999,0.0867841,0.0,0.0,1.27146,0.0635578,0.5829309,0.12007519999999999,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,2.1805193424224902,-1.0,1626.80409697885,-1.0,2458626.8040969786,-1.0,2.9206348252583703,-1.0,0.46626209168231003,-1.0,15411.4857399095,-1.0,True,38446.0,12467.0,2.011931,779.7541999999999,-0.0631031,0.4885157,2.75183,-2.706729,0.6055,0.740219,12.54469,35.62401,0.06696624,141.8654,0.0,1.856806,0.919017,2985.89,360.8011,0.9323075000000001,3.628048,6.1315521490930134e-220,7.521746,-0.6176483,1.145625,350,34.35802,13.00456,-20.35521,2.5,-17.93303,2.552202,27.127990000000004,2.522945,-0.414717,2.632295,-3.0458990000000004,2.775075,3.074003,2.7725419999999996,1
00016288184-02,16288184,2,s0001-s0039,2021-08-31,0.528061,2.55279e-06,1625.13,0.00033393699999999997,2458625.13,0.00033393699999999997,0.040324300000000014,0.00157169,2.8399799999999997,0.25558000000000003,88.0417,0.145118,0.097048,0.008275869999999998,1.50696,0.024962400000000003,0.0614925,0.0716368,1867.85,217.33700000000002,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.4642813,0.3390901,-0.1901612,0.0136101,76,mandel-agol_geometric_transit_model,True,11.39371,13867.18,16311.44,10.167069999999999,81.84730999999998,91.8755,3185,3279.042,5.59721,0.815192,0.0135869,0.00343353,2654.2,45.5387,11728.9,46.463,2,0000000000001000000000000000000000000001,6218.0,134.679,4.307919999999999,0.0867841,0.0,0.0,1.27146,0.0635578,0.5829309,0.12007519999999999,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,0.52805529675483,-1.0,1625.13451528396,-1.0,2458625.134515284,-1.0,2.39098938686725,-1.0,1.01265605738444,-1.0,2740.866685214571,-1.0,True,31280.0,13695.0,3.4790080000000003,686.8733,-0.5580350000000001,0.6202183000000001,3.37229,-2.167957,0.14303,0.34581,17.39087,10.031369999999999,0.002355299,0.0,141.8654,2.226629,1.959616,5012.872,1094.823,0.6259537,2.144027,5.55354891414426e-22,7.317650999999999,-0.5188065,1.102877,1448,2.6386849999999997,14.9568,-4.258732,5.718894000000001,-3.490249,7.826681,5.506236,6.646610000000001,15.059000000000001,6.400447,11.635489999999999,8.486893999999998,19.03045,7.251028,1
00025155310-01,25155310,1,s0001-s0039,2021-08-31,3.28879,2.55279e-06,1327.52,0.00033393699999999997,2458327.52,0.00033393699999999997,0.07697949999999999,0.00157169,7.94441,0.25558000000000003,89.92789999999998,0.145118,0.00999983,0.008275869999999998,3.41636,0.024962400000000003,0.245419,0.0716368,6985.09,217.33700000000002,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.6582819000000001,-0.3173031,0.6858338,-0.33522690000000005,168,mandel-agol_geometric_transit_model,True,475.9489,68255.04,82069.75999999997,438.0594,17534.61,5794.295,14274,20992.82,10.4355,0.815192,0.0434486,0.00343353,1338.84,45.5387,759.3379999999999,46.463,1,0111111111111100000000000001111111101111,5675.54,116.592,4.25432,0.07681789999999998,0.20683,0.045809300000000004,1.24175,0.0610804,0.5275769,0.09685887,TIC8.2,TIC8.2,TIC8.2,TIC8.2,TIC8.2-Der,3.2887802124023398,-1.0,1327.5216205302002,-1.0,2458327.52162053,-1.0,3.45055377001996,-1.0,0.4236805587318479,-1.0,6608.7977866625,-1.0,True,402300.0,119735.0,2.7167619999999997,43.80675,-0.761879,0.780605,2.94233,-3.642201,1.8832,0.4708100000000001,45.121809999999996,430.2575,6.826171,0.0,0.0,0.4177763,0.1484107,1664.1979999999999,142.8977,-3.923057,2.1521689999999998,0.0,6.878646000000001,-0.4338185000000001,1.028773,323,301.5041,43.87988,-0.1120917,2.5017669999999996,0.5652267,2.50074,0.5762341,2.500875,0.0007343568,2.503027,0.07838003,2.501049,0.07838346,2.501049,1
00029781292-01,29781292,1,s0001-s0039,2021-08-31,56.0065,2.55279e-06,1337.22,0.00033393699999999997,2458337.22,0.00033393699999999997,0.028229300000000002,0.00157169,28.9802,0.25558000000000003,88.40229999999998,0.145118,0.807988,0.008275869999999998,9.393189999999999,0.024962400000000003,0.7093189999999999,0.0716368,778.318,217.33700000000002,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.4486285,0.4124204000000001,-0.3066908,0.06545366,12,mandel-agol_geometric_transit_model,True,46.45471,11898.81,14395.73,43.06351,177.7842,25.304000000000002,3225,3150.37,4.35115,0.815192,0.307949,0.00343353,596.659,45.5387,29.9521,46.463,3,0111111111111100000000000001111101111111,6315.0,134.21,4.23189,0.0906404,0.0,0.0,1.4118899999999999,0.0640704,0.44064529999999996,0.09411464,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,56.00691986083979,-1.0,1337.22084606127,-1.0,2458337.220846061,-1.0,9.690049507665046,-1.0,1.28061666953302,-1.0,758.481592816125,-1.0,True,415729.0,23796.0,2.689248,64.77597,-0.0524046,0.5807047,3.95709,-3.006462,21.44025,-6.37502,14.743670000000002,42.32609,0.7698431,6640.409000000001,2440.867,178.5003,68.03908,3371.9159999999997,306.5515,2.6087990000000003,9.023817999999999,0.0,6.9027460000000005,-0.20228120000000002,0.9997417,19,30.52518,1.7215759999999998,0.5609679,3.4526489999999996,2.769751,3.643358,2.825988,3.4463480000000004,0.7819509,3.379318,2.755252,3.801485,2.864064,3.5253419999999998,1
00029781292-02,29781292,2,s0001-s0039,2021-08-31,84.2591,2.55279e-06,1355.66,0.00033393699999999997,2458355.66,0.00033393699999999997,0.0194742,0.00157169,65.2904,0.25558000000000003,89.9156,0.145118,0.0961721,0.008275869999999998,10.0065,0.024962400000000003,0.192912,0.0716368,434.519,217.33700000000002,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.4486285,0.4124204000000001,-0.3066908,0.06545366,6,mandel-agol_geometric_transit_model,True,18.27555,6876.187,8421.67,16.49908,26.955309999999997,10.55336,1886,1886.595,3.0016700000000003,0.815192,0.404325,0.00343353,520.715,45.5387,17.3749,46.463,3,0111111111111100000000000001111101111111,6315.0,134.21,4.23189,0.0906404,0.0,0.0,1.4118899999999999,0.0640704,0.44064529999999996,0.09411464,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,84.2610750239801,-1.0,1355.67815329047,-1.0,2458355.6781532904,-1.0,10.5297491665369,-1.0,3.31936918017012,-1.0,278.155680557145,-1.0,True,402152.0,14241.0,2.779543,69.35701999999999,-0.06270099999999999,0.5961145,3.1490299999999998,-3.0689439999999997,26.60691,-1.09863,13.6125,15.961520000000002,0.08790747999999997,2440.867,0.0,692.3089,330.207,4129.6759999999995,478.0972,2.093562,7.540908,4.225006406792508e-56,7.053571000000001,-0.3029054,1.0335219999999998,13,15.72494,1.87609,7.259382999999999,7.759944,-1.273288,3.313619,7.370203,7.664671,10.53317,6.298035,-1.234904,3.231537,10.605310000000001,6.2665,1
00029781292-03,29781292,3,s0001-s0039,2021-08-31,22.8911,2.55279e-06,1344.81,0.00033393699999999997,2458344.81,0.00033393699999999997,0.016458599999999997,0.00157169,36.7632,0.25558000000000003,88.66939999999998,0.145118,0.8536959999999999,0.008275869999999998,2.62521,0.024962400000000003,0.150594,0.0716368,255.16299999999998,217.33700000000002,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.4486285,0.4124204000000001,-0.3066908,0.06545366,22,mandel-agol_geometric_transit_model,True,13.336479999999998,6716.735,8059.0509999999995,12.37934,30.092109999999998,16.93511,1317,1287.98,2.53686,0.815192,0.169602,0.00343353,803.99,45.5387,98.7469,46.463,3,0111111111111100000000000001111101111111,6315.0,134.21,4.23189,0.0906404,0.0,0.0,1.4118899999999999,0.0640704,0.44064529999999996,0.09411464,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,22.891213665567197,-1.0,1344.8076109853,-1.0,2458344.8076109854,-1.0,2.77556248763088,-1.0,0.2907803460662309,-1.0,266.975045618852,-1.0,True,395701.0,12495.0,2.8651169999999997,59.16061,-0.00523369,0.618104,3.32084,-3.4515879999999997,10.56897,-2.3222400000000003,8.024253999999999,12.76835,1.681698,0.0,6640.409000000001,145.4707,62.8898,4317.029000000001,450.0014,2.2972040000000002,7.785400999999999,2.58136345839677e-37,7.093082000000001,-0.10861660000000002,1.013088,46,8.750286000000001,1.3088229999999998,-0.3887703,3.582481,-8.193804,3.5731940000000004,8.203020999999998,3.594106,-0.1606925,3.355438,-8.449099999999998,3.555945,8.450628,3.563546,1
00030037565-02,30037565,2,s0001-s0039,2021-08-31,3.4612,2.55279e-06,1325.61,0.00033393699999999997,2458325.61,0.00033393699999999997,0.00565672,0.00157169,2.20777,0.25558000000000003,89.74049999999998,0.145118,0.00999983,0.008275869999999998,12.5049,0.024962400000000003,0.07599459999999998,0.0716368,37.0881,217.33700000000002,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.4480266,0.3025912,-0.07483494999999997,-0.04228198,166,mandel-agol_geometric_transit_model,True,6.086854,212391.1,258961.6,10.028039999999999,155.1107,224.8604,54069,51171.28,0.963076,0.815192,0.0459694,0.00343353,1519.97,45.5387,1261.43,46.463,2,0111111111111100000000000001011111111101,5914.0,109.877,4.0855,0.0744798,-0.2,0.06363959999999999,1.5595299999999999,0.0669347,0.28477759999999996,0.05034447,TIC8.2,TIC8.2,TIC8.2,TIC8.2,TIC8.2-Der,3.461197139002389,-1.0,1328.4835670602201,-1.0,2458328.4835670604,-1.0,9.008570207731472,-1.0,2.82590976315154,-1.0,20.7233466340423,-1.0,True,418092.0,186542.0,0.7450051999999999,5.733131,-0.740502,0.46921090000000004,1.67431,-3.613573,1.0222,2.49998,4.340279,8.547689999999998,0.3601264,0.0,4561.861,7.1859470000000005,22.088520000000003,3847.664,2955.4809999999998,0.2800526,0.7874584,2.1753844714994893e-17,7.19647,-0.2056724,1.04169,308,3.12898,10.1138,-0.3172252,8.058989999999998,9.301703,7.869861,9.307111,7.967469999999999,1.03557,6.858575,9.752608,8.167904999999998,9.807435000000002,7.839476999999999,1
00030312676-01,30312676,1,s0001-s0039,2021-08-31,1.1022299999999998,2.55279e-06,1325.45,0.00033393699999999997,2458325.45,0.00033393699999999997,0.0258226,0.00157169,2.5297400000000003,0.25558000000000003,87.73449999999998,0.145118,0.1,0.008275869999999998,3.5009300000000003,0.024962400000000003,0.0940488,0.0716368,778.9679999999997,217.33700000000002,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.5712936,-0.08547124,0.4172728,-0.2379788,508,mandel-agol_geometric_transit_model,True,30.827859999999998,206988.8,247754.3,29.31441,535.0930000000001,424.879,48065,43428.33,2.81905,0.815192,0.0208932,0.00343353,1764.48,45.5387,2290.82,46.463,3,0111111110111100000000000001111111111111,5780.0,0.0,4.438,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Solar,Solar,Solar,Solar,Solar,1.1022310256958001,-1.0,1325.45704227431,-1.0,2458325.4570422745,-1.0,4.80538936463568,-1.0,2.0905157114674,-1.0,1010.71027764241,-1.0,True,471254.0,195755.0,3.030294,84.64574,-0.135254,0.9523941999999999,3.4214300000000004,-3.113225,0.46942,0.7638659999999999,16.149729999999998,24.00467,0.7821551999999999,0.0,139856.7,2.557903,0.9668771,3450.079,326.02910000000014,1.611273,5.170077,8.430682304624967e-86,8.678742999999999,-0.04173335,1.227133,966,22.028760000000002,4.335317,3.7704839999999997,2.557099,4.475976999999999,2.560779,5.852428,2.559252,1.759466,2.508502,0.8135114999999999,2.511547,1.938433,2.5090380000000003,1
00030312676-02,30312676,2,s0001-s0039,2021-08-31,475.649,2.55279e-06,1347.92,0.00033393699999999997,2458347.92,0.00033393699999999997,0.0498949,0.00157169,1080.78,0.25558000000000003,89.9984,0.145118,0.029399500000000002,0.008275869999999998,3.52846,0.024962400000000003,0.167824,0.0716368,2912.47,217.33700000000002,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.5712936,-0.08547124,0.4172728,-0.2379788,2,mandel-agol_geometric_transit_model,True,9.211604,734.941,616.2595,6.950634,5.669396,6.38793,201,272.7751,5.44701,0.815192,1.1931100000000001,0.00343353,233.49599999999998,45.5387,0.702491,46.463,3,0111111110111100000000000001111111111111,5780.0,0.0,4.438,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Solar,Solar,Solar,Solar,Solar,475.649796289847,-1.0,1347.9352535600501,-1.0,2458347.93525356,-1.0,6.108095533111429,-1.0,3.0508924169350697,-1.0,4116.229013678501,-1.0,True,238682.0,693.0,2.917912,1151.1580000000001,-0.0114504,0.673489,4.5728800000000005,-4.828787999999999,-6.606960000000001,18.6708,20.301379999999998,9.44162,0.0,394080.6,0.0,30384.57,14695.34,4766.326,576.3021,2.067565,7.865370999999999,2.05963838718883e-07,14.2301,-3.562664,2.55573,3,2.142101,0.7618804999999998,-22.4894,3.5986569999999998,-4.704173,9.440284,22.976129999999998,4.017867,-23.61138,3.594215,-5.628536,9.440283,24.27298,4.125013,1
00030312676-03,30312676,3,s0001-s0039,2021-08-31,178.18,2.55279e-06,1401.64,0.00033393699999999997,2458401.64,0.00033393699999999997,0.122096,0.00157169,90.5537,0.25558000000000003,89.455,0.145118,0.861318,0.008275869999999998,10.8114,0.024962400000000003,4.1291199999999995,0.0716368,13515.2,217.33700000000002,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.5712936,-0.08547124,0.4172728,-0.2379788,3,mandel-agol_geometric_transit_model,True,15.50026,1601.26,1680.6029999999998,6.889981,4.503928,0.62487,135,85.26990999999998,13.3292,0.815192,0.620005,0.00343353,323.908,45.5387,2.60142,46.463,3,0111111110111100000000000001111111111111,5780.0,0.0,4.438,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Solar,Solar,Solar,Solar,Solar,178.226312558551,-1.0,1401.4970868325602,-1.0,2458401.4970868328,-1.0,3.03492048650278,-1.0,0.8524951896171279,-1.0,3342.7550220031,-1.0,True,238376.0,1019.0,3.117035,1260.403,-0.00448575,0.6735039,4.73595,-5.808391,42.72079,42.575,19.54157,7.20816,0.0,139856.7,394080.6,1500.254,490.4625,3116.764,254.7328,3.0568169999999997,10.96386,5.4685344017007995e-06,14.236629999999998,-4.3593150000000005,2.614945,6,0.642379,1.101992,-45.956309999999995,2.516155,-31.812359999999998,2.526052,55.89284,2.5193659999999998,-47.86014,2.501959,-33.50268,2.526051,58.42108,2.5099080000000002,1
00030853470-01,30853470,1,s0001-s0039,2021-08-31,5.270230000000001,2.55279e-06,1327.66,0.00033393699999999997,2458327.66,0.00033393699999999997,0.0267447,0.00157169,7.840330000000001,0.25558000000000003,83.1027,0.145118,0.9415469999999999,0.008275869999999998,2.11919,0.024962400000000003,0.42221000000000003,0.0716368,541.6990000000001,217.33700000000002,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.6852107,-0.5730173000000001,1.074558,-0.44034880000000004,100,mandel-agol_geometric_transit_model,True,14.1061,23606.47,28559.43,13.97802,108.3546,89.40759,5475,5013.044,2.02357,0.815192,0.053638300000000014,0.00343353,739.4629999999999,45.5387,70.6623,46.463,1,011111111011110000000000000111111111111,4662.0,196.458,4.62574,0.13890999999999998,0.0,0.0,0.693074,0.08045729999999998,2.223106,0.7564499,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,5.2702703475952095,-1.0,1327.65226389513,-1.0,2458327.652263895,-1.0,2.2641334692418598,-1.0,0.4865145338663711,-1.0,602.251770049079,-1.0,True,378120.0,46697.0,2.271302,90.2346,-0.15195799999999998,0.581349,2.48507,-2.409865,3.2244200000000003,-0.725023,4.559392,13.91729,0.02253523,0.0,0.0,34.878659999999996,16.825979999999998,2778.415,318.06330000000014,2.013474,6.325747,4.2960744010161083e-41,7.230233,-0.3495929,1.066771,196,8.163494,2.700878,-18.80818,5.063224,29.24196,8.666239,34.768370000000004,7.786387999999999,-19.29505,5.3447059999999995,30.421999999999997,7.558236999999999,36.02495,8.020685,1
00031268146-01,31268146,1,s0001-s0039,2021-08-31,3.6472800000000003,2.55279e-06,1412.26,0.00033393699999999997,2458412.26,0.00033393699999999997,0.0114677,0.00157169,3.9116199999999997,0.25558000000000003,80.62059999999998,0.145118,0.637479,0.008275869999999998,5.70946,0.024962400000000003,0.10967400000000001,0.0716368,139.878,217.33700000000002,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.5406483,0.1046045,0.1177912,-0.1105315,133,mandel-agol_geometric_transit_model,True,14.657329999999998,85660.3,103416.6,14.349020000000001,134.4309,123.58,21448,19969.36,1.84758,0.815192,0.0480395,0.00343353,1470.45,45.5387,1104.91,46.463,1,0000111111111000000000000001111110111111,6012.38,117.542,4.14534,0.07965010000000002,0.10978399999999999,0.047479400000000005,1.47579,0.073995,0.3453943,0.06567027,TIC8.2,TIC8.2,TIC8.2,TIC8.2,TIC8.2-Der,3.64727878570557,-1.0,1412.2570469185198,-1.0,2458412.2570469184,-1.0,6.0472335435556195,-1.0,2.4421618274112906,-1.0,165.475087622724,-1.0,True,343436.0,166046.0,3.7181830000000002,42.8807,-0.9279,0.5998992,4.65814,-3.0158,1.27636,0.6430319999999999,5.557949,13.32632,1.664123,0.0,0.0,15.94878,7.795178999999999,4543.327,543.4661,1.9176959999999998,5.625735,1.1249344058681998e-38,7.240660000000001,-0.154809,1.0407469999999999,268,6.454168,10.53887,-27.79679,6.316199,29.77161,6.0678849999999995,40.73095,7.116278,-27.998690000000003,6.9191139999999995,30.28602,5.79519,41.24524,7.426436,1
00030037565-01,30037565,1,s0001-s0039,2021-08-31,40.7198,2.55279e-06,1337.09,0.00033393699999999997,2458337.09,0.00033393699999999997,0.018143799999999998,0.00157169,63.913999999999994,0.25558000000000003,89.5622,0.145118,0.48837600000000003,0.008275869999999998,4.34839,0.024962400000000003,0.101217,0.0716368,364.70099999999996,217.33700000000002,0.0,0.0,0.0,0.0,claret_tess_nonlinear_limb_darkening_model,0.4480266,0.3025912,-0.07483494999999997,-0.04228198,15,mandel-agol_geometric_transit_model,True,12.98864,7330.520999999998,9039.423,12.51614,25.029420000000002,17.13815,1882,1807.818,3.08905,0.815192,0.237787,0.00343353,668.307,45.5387,47.1439,46.463,2,0111111111111100000000000001011111111101,5914.0,109.877,4.0855,0.0744798,-0.2,0.06363959999999999,1.5595299999999999,0.0669347,0.28477759999999996,0.05034447,TIC8.2,TIC8.2,TIC8.2,TIC8.2,TIC8.2-Der,40.719425201416,-1.0,1337.09464964268,-1.0,2458337.0946496427,-1.0,4.31438318079823,-1.0,0.000292341883542421,-1.0,311.73569178247686,-1.0,True,396183.0,15264.0,3.232034,121.3356,-0.00368543,0.6489431999999999,3.4469800000000004,-2.9427220000000003,1.8680299999999999,1.72081,5.867233000000001,12.308910000000001,0.03976914,4561.861,0.0,395.5387,281.1386,4608.014,812.003,1.40336,4.849844999999999,4.072757759854659e-33,7.278535000000001,-0.1442648,1.043755,26,9.165627,2.536575,-3.0525900000000004,4.642507,-4.1199650000000005,4.579779,5.127612999999999,4.834472,-2.268173,4.298758,-3.726685,4.540305,4.362659,4.572067,0
